,Currency,Exchange,month,date,year
182,AUD,1.273,2,6,2015
183,EUR,0.8736,2,6,2015
184,GBP,0.6528,2,6,2015
185,USD,1.0,2,7,2015
186,CAD,1.2445,2,7,2015
187,AUD,1.273,2,7,2015
188,EUR,0.8736,2,7,2015
189,GBP,0.6528,2,7,2015
190,USD,1.0,2,8,2015
191,CAD,1.2445,2,8,2015
192,AUD,1.273,2,8,2015
193,EUR,0.8736,2,8,2015
194,GBP,0.6528,2,8,2015
195,USD,1.0,2,9,2015
196,CAD,1.25,2,9,2015
197,AUD,1.2798,2,9,2015
198,EUR,0.8869,2,9,2015
199,GBP,0.6576,2,9,2015
200,USD,1.0,2,10,2015
201,CAD,1.2471,2,10,2015
202,AUD,1.2855,2,10,2015
203,EUR,0.8852,2,10,2015
204,GBP,0.6568,2,10,2015
205,USD,1.0,2,11,2015
206,CAD,1.2611,2,11,2015
207,AUD,1.291,2,11,2015
208,EUR,0.8839,2,11,2015
209,GBP,0.6537,2,11,2015
210,USD,1.0,2,12,2015
211,CAD,1.256,2,12,2015
212,AUD,1.3031,2,12,2015
213,EUR,0.8828,2,12,2015
214,GBP,0.6511,2,12,2015
215,USD,1.0,2,13,2015
216,CAD,1.2508,2,13,2015
217,AUD,1.2907,2,13,2015
218,EUR,0.8787,2,13,2015
219,GBP,0.6503,2,13,2015
220,USD,1.0,2,14,2015
221,CAD,1.2508,2,14,2015
222,AUD,1.2907,2,14,2015
223,EUR,0.8787,2,14,2015
224,GBP,0.6503,2,14,2015
225,USD,1.0,2,15,2015
226,CAD,1.2508,2,15,2015
227,AUD,1.2907,2,15,2015
228,EUR,0.8787,2,15,2015
229,GBP,0.6503,2,15,2015
230,USD,1.0,2,16,2015
231,CAD,1.2453,2,16,2015
232,AUD,1.2859,2,16,2015
233,EUR,0.8766,2,16,2015
234,GBP,0.6505,2,16,2015
235,USD,1.0,2,17,2015
236,CAD,1.2374,2,17,2015
237,AUD,1.2784,2,17,2015
238,EUR,0.876,2,17,2015
239,GBP,0.6512,2,17,2015
240,USD,1.0,2,18,2015
241,CAD,1.245,2,18,2015
242,AUD,1.2837,2,18,2015
243,EUR,0.8794,2,18,2015
244,GBP,0.6483,2,18,2015
245,USD,1.0,2,19,2015
246,CAD,1.252,2,19,2015
247,AUD,1.285,2,19,2015
248,EUR,0.8782,2,19,2015
249,GBP,0.648,2,19,2015
250,USD,1.0,2,20,2015
251,CAD,1.2456,2,20,2015
252,AUD,1.2745,2,20,2015
253,EUR,0.8851,2,20,2015
254,GBP,0.6504,2,20,2015
255,USD,1.0,2,21,2015
256,CAD,1.2456,2,21,2015
257,AUD,1.2745,2,21,2015
258,EUR,0.8851,2,21,2015
259,GBP,0.6504,2,21,2015
260,USD,1.0,2,22,2015
261,CAD,1.2456,2,22,2015
262,AUD,1.2745,2,22,2015
263,EUR,0.8851,2,22,2015
264,GBP,0.6504,2,22,2015
265,USD,1.0,2,23,2015
266,CAD,1.2618,2,23,2015
267,AUD,1.2843,2,23,2015
268,EUR,0.8851,2,23,2015
269,GBP,0.6507,2,23,2015
270,USD,1.0,2,24,2015
271,CAD,1.2643,2,24,2015
272,AUD,1.2896,2,24,2015
273,EUR,0.8828,2,24,2015
274,GBP,0.6483,2,24,2015
275,USD,1.0,2,25,2015
276,CAD,1.2441,2,25,2015
277,AUD,1.2681,2,25,2015
278,EUR,0.8814,2,25,2015
279,GBP,0.6459,2,25,2015
280,USD,1.0,2,26,2015
281,CAD,1.247,2,26,2015
282,AUD,1.2686,2,26,2015
283,EUR,0.8836,2,26,2015
284,GBP,0.6451,2,26,2015
285,USD,1.0,2,27,2015
286,CAD,1.2451,2,27,2015
287,AUD,1.2774,2,27,2015
288,EUR,0.8897,2,27,2015
289,GBP,0.6475,2,27,2015
290,USD,1.0,2,28,2015
291,CAD,1.2451,2,28,2015
292,AUD,1.2774,2,28,2015
293,EUR,0.8897,2,28,2015
294,GBP,0.6475,2,28,2015
295,USD,1.0,3,1,2015
296,CAD,1.2451,3,1,2015
297,AUD,1.2774,3,1,2015
298,EUR,0.8897,3,1,2015
299,GBP,0.6475,3,1,2015
300,USD,1.0,3,2,2015
301,CAD,1.2492,3,2,2015
302,AUD,1.2856,3,2,2015
303,EUR,0.8907,3,2,2015
304,GBP,0.6497,3,2,2015
305,USD,1.0,3,3,2015
306,CAD,1.2519,3,3,2015
307,AUD,1.2794,3,3,2015
308,EUR,0.8954,3,3,2015
309,GBP,0.6515,3,3,2015
310,USD,1.0,3,4,2015
311,CAD,1.2515,3,4,2015
312,AUD,1.2757,3,4,2015
313,EUR,0.899,3,4,2015
314,GBP,0.6526,3,4,2015
315,USD,1.0,3,5,2015
316,CAD,1.244,3,5,2015
317,AUD,1.2833,3,5,2015
318,EUR,0.9034,3,5,2015
319,GBP,0.6551,3,5,2015
320,USD,1.0,3,6,2015
321,CAD,1.2466,3,6,2015
322,AUD,1.2761,3,6,2015
323,EUR,0.9122,3,6,2015
324,GBP,0.6586,3,6,2015
325,USD,1.0,3,7,2015
326,CAD,1.2466,3,7,2015
327,AUD,1.2761,3,7,2015
328,EUR,0.9122,3,7,2015
329,GBP,0.6586,3,7,2015
330,USD,1.0,3,8,2015
331,CAD,1.2466,3,8,2015
332,AUD,1.2761,3,8,2015
333,EUR,0.9122,3,8,2015
334,GBP,0.6586,3,8,2015
335,USD,1.0,3,9,2015
336,CAD,1.2591,3,9,2015
337,AUD,1.2931,3,9,2015
338,EUR,0.9208,3,9,2015
339,GBP,0.6617,3,9,2015
340,USD,1.0,3,10,2015
341,CAD,1.2634,3,10,2015
342,AUD,1.3069,3,10,2015
343,EUR,0.9313,3,10,2015
344,GBP,0.6638,3,10,2015
345,USD,1.0,3,11,2015
346,CAD,1.2698,3,11,2015
347,AUD,1.314,3,11,2015
348,EUR,0.9454,3,11,2015
349,GBP,0.6651,3,11,2015
350,USD,1.0,3,12,2015
351,CAD,1.2656,3,12,2015
352,AUD,1.2976,3,12,2015
353,EUR,0.9422,3,12,2015
354,GBP,0.6681,3,12,2015
355,USD,1.0,3,13,2015
356,CAD,1.2734,3,13,2015
357,AUD,1.3053,3,13,2015
358,EUR,0.9459,3,13,2015
359,GBP,0.6766,3,13,2015
360,USD,1.0,3,14,2015
361,CAD,1.2734,3,14,2015
362,AUD,1.3053,3,14,2015
363,EUR,0.9459,3,14,2015
364,GBP,0.6766,3,14,2015
365,USD,1.0,3,15,2015
366,CAD,1.2734,3,15,2015
367,AUD,1.3053,3,15,2015
368,EUR,0.9459,3,15,2015
369,GBP,0.6766,3,15,2015
370,USD,1.0,3,16,2015
371,CAD,1.2781,3,16,2015
372,AUD,1.3069,3,16,2015
373,EUR,0.9472,3,16,2015
374,GBP,0.6755,3,16,2015
375,USD,1.0,3,17,2015
376,CAD,1.2774,3,17,2015
377,AUD,1.3083,3,17,2015
378,EUR,0.9403,3,17,2015
379,GBP,0.677,3,17,2015
380,USD,1.0,3,18,2015
381,CAD,1.2824,3,18,2015
382,AUD,1.3124,3,18,2015
383,EUR,0.9441,3,18,2015
384,GBP,0.6826,3,18,2015
385,USD,1.0,3,19,2015
386,CAD,1.2717,3,19,2015
387,AUD,1.308,3,19,2015
388,EUR,0.9366,3,19,2015
389,GBP,0.6728,3,19,2015
390,USD,1.0,3,20,2015
391,CAD,1.2672,3,20,2015
392,AUD,1.2981,3,20,2015
393,EUR,0.928,3,20,2015
394,GBP,0.6733,3,20,2015
395,USD,1.0,3,21,2015
396,CAD,1.2672,3,21,2015
397,AUD,1.2981,3,21,2015
398,EUR,0.928,3,21,2015
399,GBP,0.6733,3,21,2015
400,USD,1.0,3,22,2015
401,CAD,1.2672,3,22,2015
402,AUD,1.2981,3,22,2015
403,EUR,0.928,3,22,2015
404,GBP,0.6733,3,22,2015
405,USD,1.0,3,23,2015
406,CAD,1.2525,3,23,2015
407,AUD,1.2773,3,23,2015
408,EUR,0.9164,3,23,2015
409,GBP,0.6706,3,23,2015
410,USD,1.0,3,24,2015
411,CAD,1.2465,3,24,2015
412,AUD,1.2642,3,24,2015
413,EUR,0.9132,3,24,2015
414,GBP,0.6707,3,24,2015
415,USD,1.0,3,25,2015
416,CAD,1.2482,3,25,2015
417,AUD,1.2676,3,25,2015
418,EUR,0.9103,3,25,2015
419,GBP,0.6705,3,25,2015
420,USD,1.0,3,26,2015
421,CAD,1.2442,3,26,2015
422,AUD,1.2749,3,26,2015
423,EUR,0.9113,3,26,2015
424,GBP,0.6717,3,26,2015
425,USD,1.0,3,27,2015
426,CAD,1.2509,3,27,2015
427,AUD,1.2841,3,27,2015
428,EUR,0.9211,3,27,2015
429,GBP,0.6723,3,27,2015
430,USD,1.0,3,28,2015
431,CAD,1.2509,3,28,2015
432,AUD,1.2841,3,28,2015
433,EUR,0.9211,3,28,2015
434,GBP,0.6723,3,28,2015
435,USD,1.0,3,29,2015
436,CAD,1.2509,3,29,2015
437,AUD,1.2841,3,29,2015
438,EUR,0.9211,3,29,2015
439,GBP,0.6723,3,29,2015
440,USD,1.0,3,30,2015
441,CAD,1.2641,3,30,2015
442,AUD,1.3055,3,30,2015
443,EUR,0.9221,3,30,2015
444,GBP,0.6757,3,30,2015
445,USD,1.0,3,31,2015
446,CAD,1.2769,3,31,2015
447,AUD,1.3155,3,31,2015
448,EUR,0.9295,3,31,2015
449,GBP,0.676,3,31,2015
450,USD,1.0,4,1,2015
451,CAD,1.2675,4,1,2015
452,AUD,1.3159,4,1,2015
453,EUR,0.9298,4,1,2015
454,GBP,0.6774,4,1,2015
455,USD,1.0,4,2,2015
456,CAD,1.2644,4,2,2015
457,AUD,1.3244,4,2,2015
458,EUR,0.9234,4,2,2015
459,GBP,0.6755,4,2,2015
460,USD,1.0,4,3,2015
461,CAD,1.2644,4,3,2015
462,AUD,1.3244,4,3,2015
463,EUR,0.9234,4,3,2015
464,GBP,0.6755,4,3,2015
465,USD,1.0,4,4,2015
466,CAD,1.2644,4,4,2015
467,AUD,1.3244,4,4,2015
468,EUR,0.9234,4,4,2015
469,GBP,0.6755,4,4,2015
470,USD,1.0,4,5,2015
471,CAD,1.2644,4,5,2015
472,AUD,1.3244,4,5,2015
473,EUR,0.9234,4,5,2015
474,GBP,0.6755,4,5,2015
475,USD,1.0,4,6,2015
476,CAD,1.2644,4,6,2015
477,AUD,1.3244,4,6,2015
478,EUR,0.9234,4,6,2015
479,GBP,0.6755,4,6,2015
480,USD,1.0,4,7,2015
481,CAD,1.2504,4,7,2015
482,AUD,1.3084,4,7,2015
483,EUR,0.9219,4,7,2015
484,GBP,0.6717,4,7,2015
485,USD,1.0,4,8,2015
486,CAD,1.2417,4,8,2015
487,AUD,1.2961,4,8,2015
488,EUR,0.9206,4,8,2015
489,GBP,0.6688,4,8,2015
490,USD,1.0,4,9,2015
491,CAD,1.2524,4,9,2015
492,AUD,1.2949,4,9,2015
493,EUR,0.9282,4,9,2015
494,GBP,0.6746,4,9,2015
495,USD,1.0,4,10,2015
496,CAD,1.2664,4,10,2015
497,AUD,1.3079,4,10,2015
498,EUR,0.9461,4,10,2015
499,GBP,0.6853,4,10,2015
500,USD,1.0,4,11,2015
501,CAD,1.2664,4,11,2015
502,AUD,1.3079,4,11,2015
503,EUR,0.9461,4,11,2015
504,GBP,0.6853,4,11,2015
505,USD,1.0,4,12,2015
506,CAD,1.2664,4,12,2015
507,AUD,1.3079,4,12,2015
508,EUR,0.9461,4,12,2015
509,GBP,0.6853,4,12,2015
510,USD,1.0,4,13,2015
511,CAD,1.2627,4,13,2015
512,AUD,1.3197,4,13,2015
513,EUR,0.9477,4,13,2015
514,GBP,0.6838,4,13,2015
515,USD,1.0,4,14,2015
516,CAD,1.2582,4,14,2015
517,AUD,1.3192,4,14,2015
518,EUR,0.9466,4,14,2015
519,GBP,0.6832,4,14,2015
520,USD,1.0,4,15,2015
521,CAD,1.255,4,15,2015
522,AUD,1.3182,4,15,2015
523,EUR,0.9453,4,15,2015
524,GBP,0.6776,4,15,2015
525,USD,1.0,4,16,2015
526,CAD,1.2305,4,16,2015
527,AUD,1.2875,4,16,2015
528,EUR,0.9336,4,16,2015
529,GBP,0.6712,4,16,2015
530,USD,1.0,4,17,2015
531,CAD,1.2191,4,17,2015
532,AUD,1.28,4,17,2015
533,EUR,0.9247,4,17,2015
534,GBP,0.6657,4,17,2015
535,USD,1.0,4,18,2015
536,CAD,1.2191,4,18,2015
537,AUD,1.28,4,18,2015
538,EUR,0.9247,4,18,2015
539,GBP,0.6657,4,18,2015
540,USD,1.0,4,19,2015
541,CAD,1.2191,4,19,2015
542,AUD,1.28,4,19,2015
543,EUR,0.9247,4,19,2015
